kTRBeltShort,Belt,Лента,Bande,Band,Cinta 
kTRChocolate,Chocolate,Шоколад,Chocolat,Schokolade,Chocolate
kTRMeatPiePlural,Meat Pies,Мясные пироги,Tourtes à la Viande,Fleischpasteten,Pasteles de Carnes
kTRMeatPie,Meat Pie,Мясной пирог,Tourte à la Viande,Fleischpastete,Pastel de Carne
kTRMSGPlural,M.S.G.,Глутамат,G.M.S.,M.N.D.,G.M.S.
kTRMSG,M.S.G.,Глутамат,G.M.S.,M.N.D.,G.M.S.
kTRTVDinnerPlural,TV-Dinners,Бизнес-ланчы,Dîners Télévisé,Fertiggericht,Cenas de Televisión
kTRTVDinner,TV-Dinner,Бизнес-ланч,Dîner Télévisé,Fertiggericht,Cena de Televisión
kTRCakTRePlural,Cakes,Торты,Gâteaux,Kuchen,Pastels
kTRCake,Cake,Торт,Gâteau,Kuchen,Pastel
kTRCoffeeBeanPlural,Coffee Beans,Кофейные зёрна,Grains de Café,Kaffeebohnen,Granos de Café
kTRCoffeeBean,Coffee Bean,Кофейные зёрна,Grain de Café,Kaffeebohne,Grano de Café
kTRCO2Plural,CO2,CO2,CO2,CO2,CO2
kTRCO2,CO2,CO2,CO2,CO2,CO2
kTRCaffeinePlural,Caffeine,Кофеин,Caféine,Koffein,Cafeína
kTRCaffeine,Caffeine,Кофеин,Caféine,Koffein,Cafeína
kTREnergyDrinkPlural,Energy Drinks,Энергетики,Boissons Énergisantes,Energiegetränken,Bebidas Energéticas
kTREnergyDrink,Energy Drink,Энергетик,Boisson Énergisante,Energiegetränk,Bebida Energética
kTRRaveJuicePlural,Rave Juices,Соки для рэйва,Juses Rave','Ravesäften','Jugos de Raves'
kTRRaveJuice,Rave Juice,Сок для рэйва,'Jus Rave','Ravesaft','Jugo de Rave'
kTRPerkPillsPlural,Perk Pills,Сильные таблетки,Pilules Guilleret,Munterpillen,Píldoras de Despierto
kTRPerkPills,Perk Pills,Сильные таблетки,Pilules Guilleret,Munterpillen,Píldoras de Despierto
kTRBambooPlural,Bamboos,Бамбук,Bambous,Bambus,Bambú
kTRBamboo,Bamboo,Бамбук,Bambou,Bambus,Bambú
kTRPackagingPlural,Packaging,Упаковка,Emballage,Verpackung,Embalaje
kTRPackaging,Packaging,Упаковка,Emballage,Verpackung,Embalaje
kTRDessertPlural,Desserts,Десерты,Desserts,Nachspeisen,Postres
kTRDessert,Dessert,Десерт,Dessert,Nachspeisen,Postre
kTRCateringKitPlural,Catering Kits,Кейтер. наборы,Forfaits Traiteur,Lebensmittelkit,Paquetes de Alimentos
kTRCateringKit,Catering Kit,Кейтер. набор,Forfait Traiteur,Lebensmittelkitf,Paquete de Alimento
kTRFooYoungPlural,Foo Young,Китайская еда,Foo Young,Foo Young,Foo Young
kTRFooYoung,Foo Young,Китайская еда,Foo Young,Foo Young,Foo Young
kTRPartyPackPlural,Party Packs,Наборы для вечер.,Trousses de Fête,Partypaket,Paquetes de Fiestas
kTRPartyPack,Party Pack,Набор для вечер.,Trousse de Fête,Partypaket,Paquete de Fiesta
kTRSeaCucumberPlural,Sea Cucumbers,Морские огурцы,Concombres de Mer,Seegurken,Pepinos de Mar
kTRSeaCucumber,Sea Cucumber,Морской огурец,Concombre de Mer,Seegurke,Pepino de mar
kTRParfumePlural,Parfume,Парфюм,Parfums,Parfums,Perfumes
kTRParfume,Parfume,Парфюм,Parfum,Parfüm,Perfume
kTRMiraclePowderPlural,Miracle Powder,Чудо-порошок,Poudres de Miracle,Wunderpulveren,Polvos Milagrosos
kTRMiraclePowder,Miracle Powder,Чудо-порошок,Poudre de Miracle,Wunderpulver,Polvo Milagroso
kTRRosePlural,Roses,Розы,Des Roses,Rosen,Rosas
kTRRose,Rose,Роза,Rose,Rose,Rosa
kTRTurkishDelightPlural,Turkish Delight,Рахат-лукум,Délice Turc,Türkisches Entzücken,Delicia Turca
kTRTurkishDelight,Turkish Delight,Рахат-лукум,Délice Turc,Türkisches Entzücken,Delicia Turca
kTRMainMenu,Main Menu,Главное меню,Menu Principal,Hauptmenü,Menú Principal
kTRDeleteSave1,delete save 1,delete save 1,effacer 1,loschen 1,eliminar 1
kTRDeleteSave2,delete save 2,delete save 2,effacer 2,loschen 2,eliminar 2
kTRDeleteSave3,delete save 3,delete save 3,effacer 3,loschen 3,eliminar 3
kTRLoad,load,load,charger,spiel laden,carga
kTRSave,save,save,sauvegarder,speichern,guarda
kTRMenu,menu,menu,menu,spielmenu,menu
kTRWater,Water,Вода,Eau,Wasser,Agua
kTRWet,Wet,Мокр.,Détrempé,Nass,Mojado
kTRMoist,Moist,Влаж.,Humide,Feucht,Húmedo
kTRDry,Dry,Сух.,Sec,Trocken,Seco
kTRSiltyGround,Silty Soil,Иловатая,Vase,Dreck,Limoso
kTRChalkyGround,Chalky Soil,Меловая,Calcaire,Kalkartig,Calcáreo
kTRPeatyGround,Peaty Soil,Торфяная,Tourbeux,Torf,Turba
kTRSandyGround,Sandy Soil,Песчаная,Sableux,Sandiger,Arenoso
kTRClayGround,Clay Soil,Глинистая,Argileux,Tonerde,Barro
kTRLoamyGround,Loamy Soil,Суглинистая,Limoneux,Lehmiger,Arcilloso
kTRSoil,Soil,Почва,Sol,Boden,Suelo
kTRPavedGround,Paved Ground,Вымощенная площадка,Pavé,Gepflasterter,Pavimentado
kTRObstructedGround,Obstructed Ground,Препятствующий грунт,Sol Obstrué,Versperrter Untergrund,Tierra Obstruido
kTRLake,Lake,Озеро,Lac,See,Lago
kTRRiver,River,Река,Rivière,Fluss,Río
kTROcean,Ocean,Океан,Océan,Ozean,Océano
kTRSiltWorldMask,??? ?????????,????????? ??????,??? ???????,??? ????????,??? ??????????
kTRSiltWorld,The Grasslands,Травяные угодья,Les Prairies,Die Grasland,Los Pastizales
kTRChalkWorldMask,??? ????? ???????,?????????? ?????,?? ???????? ???????????,??? ??????? ???????,?? ?????? ?????????
kTRChalkWorld,The Stony Plateau,Каменистое плато,Le Plateau Caillouteux,Das Steinige Plateau,La Meseta Pedregosa
kTRPeatWorldMask,??? ????? ??????,?????????? ??????,?? ????? ??????????,??? ???????? ?????,?? ????? ?????????
kTRPeatWorld,The Boggy Hollow,Болотистая лощина,Le Creux Marécageux,Die Sumpfige Mulde,El Hueco Pantanoso
kTRSandWorldMask,??? ??????,????????,?? ??????,??? ?????,?? ????????
kTRSandWorld,The Desert,Пустыня,Le Désert,Die Wüste,El Desierto
kTRClayWorldMask,??? ???????,?????,?????????,??? ???????,?? ????????
kTRClayWorld,The Estuary,Устье,L'estuaire,Die Mündung,El Estuario
kTRLoamWoarldMask,??? ??????? ?????,???????????? ??????,??? ???????? ????????,??? ?????????? ?????,??? ??????? ????????
kTRLoamWoarld,The Fertile Hills,Плодородные холмы,Les Collines Fertiles,Die Fruchtbaren Hügel,Las Colinas Fértiles
kTRWaterWorldMask,??? ????? ??? ?????,????????? ????????? ??????,??? ???????? ?? ?????,??? ??????????,??? ????????
kTRWaterWorld,The Tidal Mud Flats,Приливная грязевая полоса,Les Vasières De Marée,Das Wattenmeer,Las Marismas
kTRTranquilWorldMask,??? ???????? ??????,????????? ????????,??? ??????? ???????????,??? ??????? ??????,??? ???????? ??????????
kTRTranquilWorld,The Tranquil Plains,Спокойные равнины,Les Plaines Tranquilles,Die Ruhigen Ebenen,Las Llanuras Tranquilas
kTRPick,Pickup Cargo Mode,Режим сбора,Mode de Cargaison de Ramassage,Fracht Abholen,Modo de Recogida de Carga
kTRInspect,Inspection Mode,Режим инфо,Mode d'Inspection,Inspektionsmodus,Modo de Inspección
kTRDestroy,Deconstruction Mode,Режим разрушения,Mode de Déconstruction,Dekonstruktionsmodus,Modo de Deconstrucción
kTRPickHelp,"Grabs nearby cargo, empties buildings","Забирает товар, опустошает фабрики",Attrape la cargaison à proximité,"Greift fracht in der nähe, leert gebäude","Agarra la carga cercana, vacía los edificios"
kTRInspectHelp,See details about the current tile,Показывает инфо обо всём,Voir les détails sur la tuile actuelle,Siehe details zur aktuellen plättchen,Ver detalles sobre el mosaico actual
kTRDestroyHelp,Deconstructs everything in the area,Разрушает постройки,Déconstruit tout dans la région,Dekonstruiert alles in der gegend,Deconstruye todo en el área
kTRTopShop,The Shop,Магазин,La Boutique,Das Geschäft,La Tienda
kTRTopSales,Sales Depot,Депо продаж,Dépôt de Vente,Verkaufsdepot,Ventas
kTRTopWarp,Plots Depot,Депо участков,Dépôt de Terrains,Grundstücke,Tierra
kTRTopExports,Exports Depot,Депо экспорта,Exportations,Exporte,Exportaciones
kTRTopImports,Imports Depot,Депо импорта,Importations,Importe,Importaciones
kTRTopCredits,Credits,Авторы,Crédits,Kredite,Créditos
kTRTutStage,--- Tutorial Stage %i/%i ---,--- Обучение %i/%i ---,--- Étape Du Didacticiel %i/%i ---,--- Tutorial Stufe %i/%i ---,--- Tutorial Etapa %i/%i ---
kTRN,N,С,N,N,N
kTRE,E,В,E,O,E
kTRS,S,Ю,S,S,S
kTRW,W,З,O,W,O
kTRWE,"W, E","З, В","O, E","W, O","O, E"
